,wiki,website,company
95,https://en.wikipedia.org/wiki/Hillhouse_Capital_Group,https://www.hillhouseinvestment.com/,Hillhouse_Capital_Group
96,https://en.wikipedia.org/wiki/Lingjun_Investment,http://www.lingjuninvest.com,Lingjun_Investment
97,https://en.wikipedia.org/wiki/Maso_Capital,http://www.masocapital.com,Maso_Capital
98,https://en.wikipedia.org/wiki/Minghong_Investment,http://www.mhfunds.com,Minghong_Investment
99,https://en.wikipedia.org/wiki/Navigator_Global_Investments,http://navigatorglobal.com.au,Navigator_Global_Investments
100,https://en.wikipedia.org/wiki/Oasis_Management,http://oasiscm.com,Oasis_Management
101,https://en.wikipedia.org/wiki/Perseverance_Asset_Management,http://www.gyasset.com,Perseverance_Asset_Management
102,https://en.wikipedia.org/wiki/Pinpoint_Asset_Management,http://pinpointfund.com,Pinpoint_Asset_Management
103,https://en.wikipedia.org/wiki/Platinum_Asset_Management,http://www.platinum.com.au/,Platinum_Asset_Management
104,https://en.wikipedia.org/wiki/Quantedge,http://quantedge.com/,Quantedge
105,https://en.wikipedia.org/wiki/Segantii_Capital_Management,http://segantii.com,Segantii_Capital_Management
106,https://en.wikipedia.org/wiki/SPARX_Group,https://www.sparxgroup.com/,SPARX_Group
107,https://en.wikipedia.org/wiki/Tybourne_Capital_Management,http://tybournecapital.com,Tybourne_Capital_Management
108,https://en.wikipedia.org/wiki/Ubiquant,http://ubiquant.com,Ubiquant
109,https://en.wikipedia.org/wiki/Value_Partners,http://valuepartners-group.com,Value_Partners
110,https://en.wikipedia.org/wiki/Yanfu_Investments,http://yanfuinvestments.com,Yanfu_Investments
111,https://en.wikipedia.org/wiki/AKO_Capital,https://www.akocapital.com/,AKO_Capital
112,https://en.wikipedia.org/wiki/Aspect_Capital,http://www.aspectcapital.com,Aspect_Capital
113,https://en.wikipedia.org/wiki/BlueCrest_Capital_Management,https://bluecrestcapital.com/,BlueCrest_Capital_Management
114,https://en.wikipedia.org/wiki/Capital_Fund_Management,http://www.cfm.com,Capital_Fund_Management
115,https://en.wikipedia.org/wiki/Capula_Investment_Management,https://www.capulaglobal.com/,Capula_Investment_Management
116,https://en.wikipedia.org/wiki/Caxton_Associates,http://www.caxton.com/,Caxton_Associates
117,https://en.wikipedia.org/wiki/Cheyne_Capital,http://www.cheynecapital.com/,Cheyne_Capital
118,https://en.wikipedia.org/wiki/CQS_(Asset_Manager),https://cqs.com,CQS_(Asset_Manager)
119,https://en.wikipedia.org/wiki/Egerton_Capital,http://egertoncapital.com,Egerton_Capital
120,https://en.wikipedia.org/wiki/Eisler_Capital,https://www.eislercapital.com,Eisler_Capital
